# source: https://versionhistory.googleapis.com/v1/chrome/platforms/win/channels/stable/versions?pageSize=1000
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
137.0.7151.40|2025-05-21
137.0.7151.41|2025-05-21
137.0.7151.55|2025-05-27
137.0.7151.56|2025-05-27
137.0.7151.57|2025-06-02
137.0.7151.68|2025-06-02
137.0.7151.69|2025-06-02
137.0.7151.70|2025-06-10
137.0.7151.103|2025-06-10
137.0.7151.104|2025-06-10
137.0.7151.105|2025-06-17
137.0.7151.119|2025-06-17
137.0.7151.120|2025-06-17
137.0.7151.121|2025-06-18
137.0.7151.122|2025-06-24
138.0.7204.35|2025-06-18
138.0.7204.49|2025-06-24
138.0.7204.50|2025-06-24
138.0.7204.51|2025-06-30
138.0.7204.96|2025-06-30
138.0.7204.97|2025-06-30
138.0.7204.98|2025-07-08
138.0.7204.100|2025-07-08
138.0.7204.101|2025-07-08
138.0.7204.102|2025-07-15
138.0.7204.157|2025-07-15
138.0.7204.158|2025-07-15
138.0.7204.159|2025-07-22
138.0.7204.168|2025-07-22
138.0.7204.169|2025-07-22
138.0.7204.170|2025-07-29
138.0.7204.183|2025-07-29
138.0.7204.184|2025-07-29
138.0.7204.185|2025-07-30
139.0.7258.66|2025-07-30
139.0.7258.67|2025-08-05
139.0.7258.68|2025-08-12
139.0.7258.127|2025-08-12
139.0.7258.128|2025-08-12
139.0.7258.129|2025-08-19
139.0.7258.138|2025-08-19
139.0.7258.139|2025-08-19
139.0.7258.140|2025-08-26
139.0.7258.154|2025-08-26
139.0.7258.155|2025-08-26
139.0.7258.156|2025-08-27
139.0.7258.157|2025-09-02
140.0.7339.41|2025-08-27
140.0.7339.80|2025-09-02
140.0.7339.81|2025-09-02
140.0.7339.82|2025-09-09
140.0.7339.127|2025-09-09
140.0.7339.128|2025-09-09
140.0.7339.129|2025-09-17
140.0.7339.185|2025-09-17
140.0.7339.186|2025-09-17
140.0.7339.187|2025-09-23
140.0.7339.207|2025-09-23
140.0.7339.208|2025-09-23
140.0.7339.209|2025-09-24
140.0.7339.210|2025-09-30
141.0.7390.37|2025-09-24
141.0.7390.54|2025-09-30
141.0.7390.55|2025-09-30
141.0.7390.56|2025-10-07
141.0.7390.65|2025-10-07
141.0.7390.66|2025-10-07
141.0.7390.67|2025-10-09
141.0.7390.76|2025-10-09
141.0.7390.77|2025-10-09
141.0.7390.78|2025-10-14
141.0.7390.107|2025-10-14
141.0.7390.108|2025-10-14
141.0.7390.109|2025-10-21
141.0.7390.122|2025-10-21
141.0.7390.123|2025-10-21
141.0.7390.124|2025-10-23
141.0.7390.125|2025-10-28
142.0.7444.52|2025-10-23
142.0.7444.59|2025-10-28
142.0.7444.60|2025-10-28
142.0.7444.61|2025-11-05
142.0.7444.134|2025-11-05
142.0.7444.135|2025-11-05
142.0.7444.136|2025-11-11
142.0.7444.162|2025-11-11
142.0.7444.163|2025-11-11
142.0.7444.164|2025-11-17
142.0.7444.175|2025-11-17
142.0.7444.176|2025-11-17
142.0.7444.177|2025-11-20
143.0.7499.40|2025-11-20
143.0.7499.41|2025-12-02
143.0.7499.42|2025-12-10
143.0.7499.109|2025-12-10
143.0.7499.110|2025-12-10
143.0.7499.111|2025-12-16
143.0.7499.146|2025-12-16
143.0.7499.147|2025-12-16
143.0.7499.148|2025-12-18
143.0.7499.169|2025-12-18
143.0.7499.170|2025-12-18
143.0.7499.171|2026-01-06
143.0.7499.192|2026-01-06
143.0.7499.193|2026-01-06
143.0.7499.194|2026-01-07
144.0.7559.59|2026-01-07
144.0.7559.60|2026-01-13
144.0.7559.61|2026-01-20
144.0.7559.96|2026-01-20
144.0.7559.97|2026-01-20
144.0.7559.98|2026-01-27
144.0.7559.109|2026-01-27
144.0.7559.110|2026-01-27
144.0.7559.111|2026-01-28
144.0.7559.112|2026-02-03
144.0.7559.132|2026-02-03
144.0.7559.133|2026-02-03
144.0.7559.134|2026-02-04
144.0.7559.135|2026-02-13
145.0.7632.26|2026-01-28
145.0.7632.45|2026-02-04
145.0.7632.46|2026-02-10
145.0.7632.68|2026-02-12
145.0.7632.75|2026-02-13
145.0.7632.76|2026-02-13
145.0.7632.77|2026-02-18
145.0.7632.109|2026-02-18
145.0.7632.110|2026-02-18
145.0.7632.111|2026-02-23
145.0.7632.116|2026-02-23
145.0.7632.117|2026-02-23
145.0.7632.118|2026-02-25
145.0.7632.119|2026-03-03
145.0.7632.159|2026-03-03
145.0.7632.160|2026-03-03
145.0.7632.161|2026-03-05
145.0.7632.162|2026-03-10
146.0.7680.31|2026-02-25
146.0.7680.65|2026-03-05
146.0.7680.66|2026-03-05
146.0.7680.71|2026-03-10
146.0.7680.72|2026-03-10
146.0.7680.75|2026-03-12
146.0.7680.76|2026-03-12
146.0.7680.80|2026-03-14
146.0.7680.81|2026-03-18
146.0.7680.153|2026-03-18
146.0.7680.154|2026-03-18
146.0.7680.155|2026-03-23
146.0.7680.164|2026-03-23
146.0.7680.165|2026-03-23
146.0.7680.166|2026-03-25
146.0.7680.167|2026-03-31
146.0.7680.177|2026-03-31
146.0.7680.178|2026-03-31
146.0.7680.179|2026-04-01
146.0.7680.180|2026-04-07
147.0.7727.24|2026-03-25
147.0.7727.49|2026-04-01
147.0.7727.50|2026-04-01
147.0.7727.55|2026-04-07
147.0.7727.56|2026-04-07
147.0.7727.57|2026-04-15
147.0.7727.101|2026-04-15
147.0.7727.102|2026-04-15
147.0.7727.103|2026-04-22
147.0.7727.116|2026-04-22
147.0.7727.117|2026-04-22
147.0.7727.118|2026-04-23
147.0.7727.119|2026-04-28
147.0.7727.137|2026-04-28
147.0.7727.138|2026-04-28
147.0.7727.139|2026-04-29
148.0.7778.56|2026-04-23
148.0.7778.96|2026-04-29
148.0.7778.97|2026-05-05
148.0.7778.98|2026-05-12
148.0.7778.167|2026-05-12
148.0.7778.168|2026-05-12
148.0.7778.169|2026-05-19
148.0.7778.178|2026-05-19
148.0.7778.179|2026-05-19
148.0.7778.180|2026-05-20
148.0.7778.181|2026-05-27
148.0.7778.216|2026-05-27
148.0.7778.217|2026-05-27
148.0.7778.218|2026-05-29
149.0.7827.22|2026-05-20
149.0.7827.53|2026-05-29
149.0.7827.54|2026-06-02
149.0.7827.55|2026-06-08
149.0.7827.102|2026-06-08
149.0.7827.103|2026-06-08
149.0.7827.104|2026-06-11
149.0.7827.114|2026-06-11
149.0.7827.115|2026-06-11
149.0.7827.116|2026-06-16
149.0.7827.155|2026-06-16
149.0.7827.156|2026-06-16
149.0.7827.157|2026-06-17
149.0.7827.158|2026-06-23
149.0.7827.196|2026-06-23
149.0.7827.197|2026-06-23
149.0.7827.198|2026-06-24
149.0.7827.199|2026-06-25
149.0.7827.200|2026-06-25
149.0.7827.201|2026-06-25
150.0.7871.24|2026-06-17
150.0.7871.46|2026-06-24
150.0.7871.47|2026-06-30
150.0.7871.49|2026-07-07
150.0.7871.100|2026-07-07
150.0.7871.101|2026-07-07
150.0.7871.102|2026-07-08
150.0.7871.114|2026-07-08
150.0.7871.115|2026-07-08
150.0.7871.116|2026-07-14
150.0.7871.124|2026-07-14
150.0.7871.125|2026-07-14
150.0.7871.126|2026-07-15
150.0.7871.127|2026-07-16
150.0.7871.128|2026-07-16
150.0.7871.129|2026-07-16
150.0.7871.130|2026-07-21
150.0.7871.181|2026-07-21
150.0.7871.182|2026-07-21
150.0.7871.183|2026-07-22
150.0.7871.184|2026-07-23
150.0.7871.186|2026-07-23
150.0.7871.187|2026-07-23
150.0.7871.188|2026-07-29
150.0.7871.189|2026-08-04
151.0.7922.34|2026-07-15
151.0.7922.47|2026-07-22
151.0.7922.71|2026-07-29
151.0.7922.72|2026-07-29
151.0.7922.75|2026-08-04
151.0.7922.76|2026-08-04
151.0.7922.77|2026-08-06
151.0.7922.108|2026-08-06
151.0.7922.109|2026-08-06
151.0.7922.110|2026-08-11
151.0.7922.137|2026-08-11
151.0.7922.138|2026-08-11
