# source: https://get.geo.opera.com/pub/opera/desktop/
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
100.0.4815.47|2023-07-06
100.0.4815.54|2023-07-11
100.0.4815.76|2023-07-17
101.0.4843.25|2023-07-26
101.0.4843.33|2023-08-02
101.0.4843.43|2023-08-09
101.0.4843.58|2023-08-17
102.0.4880.16|2023-08-23
102.0.4880.29|2023-08-29
102.0.4880.33|2023-08-31
102.0.4880.40|2023-09-06
102.0.4880.46|2023-09-11
102.0.4880.51|2023-09-13
102.0.4880.56|2023-09-15
102.0.4880.70|2023-09-27
102.0.4880.78|2023-09-29
103.0.4928.16|2023-10-03
103.0.4928.26|2023-10-09
103.0.4928.34|2023-10-16
103.0.4928.47|2023-10-24
104.0.4944.23|2023-10-23
104.0.4944.28|2023-10-24
104.0.4944.33|2023-10-25
104.0.4944.36|2023-10-30
104.0.4944.54|2023-11-09
104.0.4944.72|2023-11-21
105.0.4970.13|2023-11-14
105.0.4970.16|2023-11-17
105.0.4970.21|2023-11-22
105.0.4970.29|2023-11-30
105.0.4970.34|2023-12-05
105.0.4970.48|2023-12-13
105.0.4970.60|2023-12-21
106.0.4998.16|2023-12-19
106.0.4998.19|2023-12-22
106.0.4998.28|2024-01-05
106.0.4998.41|2024-01-11
106.0.4998.52|2024-01-18
106.0.4998.66|2024-01-25
106.0.4998.70|2024-01-31
107.0.5045.15|2024-02-07
107.0.5045.21|2024-02-13
107.0.5045.36|2024-02-22
107.0.5045.71|2024-03-13
108.0.5067.20|2024-03-05
108.0.5067.24|2024-03-11
108.0.5067.29|2024-03-14
108.0.5067.40|2024-03-21
109.0.5097.33|2024-03-27
109.0.5097.35|2024-03-28
109.0.5097.38|2024-04-02
109.0.5097.45|2024-04-11
109.0.5097.59|2024-04-23
109.0.5097.68|2024-04-25
109.0.5097.80|2024-05-08
110.0.5130.23|2024-05-14
110.0.5130.35|2024-05-22
110.0.5130.39|2024-05-24
110.0.5130.49|2024-05-28
110.0.5130.64|2024-06-04
110.0.5130.66|2024-06-04
110.0.5130.82|2024-06-13
111.0.5168.25|2024-06-12
111.0.5168.43|2024-06-25
111.0.5168.55|2024-07-02
111.0.5168.61|2024-07-04
112.0.5197.24|2024-07-11
112.0.5197.25|2024-07-16
112.0.5197.30|2024-07-19
112.0.5197.39|2024-07-25
112.0.5197.53|2024-08-06
113.0.5230.31|2024-08-22
113.0.5230.32|2024-08-23
113.0.5230.47|2024-08-29
113.0.5230.55|2024-09-02
113.0.5230.62|2024-09-04
113.0.5230.86|2024-09-11
113.0.5230.132|2024-09-24
113.0.5230.136|2024-09-26
113.0.5230.142|2024-09-27
114.0.5282.21|2024-09-25
114.0.5282.86|2024-10-07
114.0.5282.94|2024-10-09
114.0.5282.102|2024-10-15
114.0.5282.115|2024-10-23
114.0.5282.144|2024-10-31
114.0.5282.154|2024-11-05
114.0.5282.185|2024-11-12
114.0.5282.222|2024-11-21
114.0.5282.235|2024-11-28
115.0.5322.68|2024-11-27
115.0.5322.77|2024-12-05
115.0.5322.109|2024-12-18
115.0.5322.119|2024-12-23
116.0.5366.21|2025-01-08
116.0.5366.35|2025-01-14
116.0.5366.51|2025-01-21
116.0.5366.71|2025-01-28
116.0.5366.127|2025-02-12
117.0.5408.32|2025-02-13
117.0.5408.35|2025-02-19
117.0.5408.39|2025-02-24
117.0.5408.53|2025-02-28
117.0.5408.93|2025-03-11
117.0.5408.142|2025-03-20
117.0.5408.154|2025-03-25
117.0.5408.163|2025-03-27
117.0.5408.197|2025-04-02
118.0.5461.41|2025-04-15
118.0.5461.60|2025-04-23
118.0.5461.83|2025-05-05
118.0.5461.104|2025-05-12
119.0.5497.29|2025-05-13
119.0.5497.38|2025-05-19
119.0.5497.40|2025-05-20
119.0.5497.56|2025-05-28
119.0.5497.70|2025-06-04
119.0.5497.88|2025-06-11
119.0.5497.110|2025-06-17
119.0.5497.131|2025-06-24
119.0.5497.141|2025-06-26
120.0.5543.38|2025-07-02
120.0.5543.61|2025-07-09
120.0.5543.93|2025-07-17
120.0.5543.128|2025-07-31
120.0.5543.161|2025-08-07
120.0.5543.201|2025-08-25
121.0.5600.38|2025-08-28
121.0.5600.50|2025-09-03
122.0.5643.17|2025-09-11
122.0.5643.24|2025-09-16
122.0.5643.51|2025-09-18
122.0.5643.71|2025-09-24
122.0.5643.92|2025-09-30
122.0.5643.142|2025-10-09
122.0.5643.150|2025-10-10
123.0.5669.23|2025-10-28
123.0.5669.47|2025-11-05
124.0.5705.15|2025-11-13
124.0.5705.42|2025-11-20
124.0.5705.65|2025-11-27
125.0.5729.12|2025-12-04
125.0.5729.15|2025-12-05
125.0.5729.21|2025-12-11
125.0.5729.49|2025-12-18
126.0.5750.18|2026-01-08
126.0.5750.37|2026-01-15
126.0.5750.43|2026-01-15
126.0.5750.59|2026-01-22
126.0.5750.124|2026-02-14
127.0.5778.14|2026-02-02
127.0.5778.47|2026-02-11
127.0.5778.64|2026-02-14
127.0.5778.76|2026-02-18
127.0.5778.125|2026-03-13
128.0.5807.25|2026-02-26
128.0.5807.37|2026-03-03
128.0.5807.52|2026-03-05
128.0.5807.66|2026-03-10
128.0.5807.77|2026-03-13
129.0.5823.15|2026-03-18
129.0.5823.22|2026-03-25
129.0.5823.28|2026-03-26
129.0.5823.44|2026-04-02
129.0.5823.65|2026-04-07
130.0.5847.12|2026-04-08
130.0.5847.41|2026-04-16
130.0.5847.82|2026-04-22
130.0.5847.92|2026-04-24
131.0.5877.5|2026-04-29
131.0.5877.24|2026-05-06
131.0.5877.55|2026-05-14
131.0.5877.74|2026-05-20
131.0.5877.97|2026-05-22
131.0.5877.116|2026-05-28
132.0.5905.11|2026-05-28
132.0.5905.19|2026-06-02
132.0.5905.22|2026-06-03
132.0.5905.37|2026-06-10
132.0.5905.73|2026-06-16
132.0.5905.102|2026-06-24
132.0.5905.114|2026-07-06
133.0.5932.10|2026-06-29
133.0.5932.20|2026-07-02
133.0.5932.24|2026-07-03
133.0.5932.34|2026-07-09
133.0.5932.60|2026-07-16
133.0.5932.85|2026-07-23
134.0.5954.46|2026-08-06
134.0.5954.56|2026-08-12
134.0.5954.66|2026-08-18
135.0.5973.41|2026-08-20
135.0.5973.55|2026-08-26
135.0.5973.66|2026-08-28
135.0.5973.76|2026-09-02
135.0.5973.92|2026-09-04
135.0.5973.123|2026-09-10
135.0.5973.133|2026-09-11
135.0.5973.142|2026-09-15
136.0.6008.22|2026-09-17
